ticker,roic_years,avg,trend,trend_detail,passed
ANF,0,,error,"Client error '403 Forbidden' for url 'https://financialmodelingprep.com/api/v3/key-metrics/ANF?period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403",False
ATGE,0,,error,"Client error '403 Forbidden' for url 'https://financialmodelingprep.com/api/v3/key-metrics/ATGE?period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403",False
MO,0,,error,"Client error '403 Forbidden' for url 'https://financialmodelingprep.com/api/v3/key-metrics/MO?period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403",False
AMCX,0,,error,"Client error '403 Forbidden' for url 'https://financialmodelingprep.com/api/v3/key-metrics/AMCX?period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403",False
BMBL,0,,error,"Client error '403 Forbidden' for url 'https://financialmodelingprep.com/api/v3/key-metrics/BMBL?period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403",False
CPRX,0,,error,"Client error '403 Forbidden' for url 'https://financialmodelingprep.com/api/v3/key-metrics/CPRX?period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403",False
CRNC,0,,error,"Client error '403 Forbidden' for url 'https://financialmodelingprep.com/api/v3/key-metrics/CRNC?period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403",False
GIB,0,,error,"Client error '403 Forbidden' for url 'https://financialmodelingprep.com/api/v3/key-metrics/GIB?period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403",False
COLL,0,,error,"Client error '403 Forbidden' for url 'https://financialmodelingprep.com/api/v3/key-metrics/COLL?period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403",False
CCSI,0,,error,"Client error '403 Forbidden' for url 'https://financialmodelingprep.com/api/v3/key-metrics/CCSI?period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403",False
CRMD,0,,error,"Client error '403 Forbidden' for url 'https://financialmodelingprep.com/api/v3/key-metrics/CRMD?period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403",False
CROX,0,,error,"Client error '403 Forbidden' for url 'https://financialmodelingprep.com/api/v3/key-metrics/CROX?period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403",False
EGHSF,0,,error,"Client error '403 Forbidden' for url 'https://financialmodelingprep.com/api/v3/key-metrics/EGHSF?period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403",False
EVER,0,,error,"Client error '403 Forbidden' for url 'https://financialmodelingprep.com/api/v3/key-metrics/EVER?period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403",False
GEN,0,,error,"Client error '403 Forbidden' for url 'https://financialmodelingprep.com/api/v3/key-metrics/GEN?period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403",False
